id_film,titre_film,duree,genres_liste,date_sortie,utilisateur_note,nbre_utilisateur_note
['8262802'],The Holiday Calendar,95 min,"Drama, Fantasy, Romance            ",(2018),5.7,"10,309"
['8254556'],Girl,105 min,Drama            ,(II) (2018),7.1,"14,793"
['7153766'],Unsane,98 min,"Drama, Horror, Mystery            ",(2018),6.4,"46,932"
['4964788'],Todos lo saben,133 min,"Crime, Drama, Mystery            ",(2018),6.9,"35,135"
['4986098'],The Titan,97 min,"Drama, Mystery, Romance            ",(2018),4.8,"31,691"
['6116856'],The Night Comes for Us,121 min,"Action, Thriller            ",(2018),6.9,"26,500"
['5664636'],Goosebumps 2: Haunted Halloween,90 min,"Adventure, Comedy, Fantasy            ",(2018),5.6,"21,633"
['1464763'],Mute,126 min,"Mystery, Sci-Fi, Thriller            ",(II) (2018),5.4,"35,825"
['5057140'],Hold the Dark,125 min,"Action, Drama, Thriller            ",(2018),5.6,"37,711"
['2126357'],Second Act,103 min,"Comedy, Drama, Romance            ",(2018),5.8,"27,964"
['2837574'],The Old Man & the Gun,93 min,"Biography, Comedy, Crime            ",(2018),6.7,"46,581"
['8361028'],Cam,94 min,"Drama, Horror, Mystery            ",(2018),5.9,"32,566"
['6133466'],The First Purge,97 min,"Action, Horror, Sci-Fi            ",(2018),5.2,"64,710"
['6857166'],Book Club,104 min,"Comedy, Drama, Romance            ", (2018),6.1,"28,583"
['7137380'],Destroyer,121 min,"Action, Crime, Drama            ",(2018),6.2,"29,987"
['3317234'],"Game Over, Man!",101 min,"Action, Comedy            ",(2018),5.4,"30,835"
['8119752'],Gon-ji-am,95 min,Horror            ,(2018),6.4,"10,215"
['2296777'],Sherlock Gnomes,86 min,"Animation, Adventure, Comedy            ",(2018),5.2,"12,756"
['6952960'],The Kindergarten Teacher,96 min,"Drama, Thriller            ",(2018),6.7,"16,432"
['9495224'],Black Mirror: Bandersnatch,90 min,"Drama, Fantasy, Mystery            ",(2018),7.1,"127,261"
['6905696'],Slaughterhouse Rulez,104 min,"Action, Comedy, Fantasy            ",(2018),5.3,"15,172"
['6043142'],Skin,118 min,"Biography, Crime, Drama            ",(V) (2018),6.9,"19,077"
['3203528'],Bad Samaritan,110 min,"Crime, Horror, Thriller            ",(2018),6.4,"23,843"
['6829180'],Welcome Home,97 min,Thriller            , (2018),5.2,"7,942"
['6269368'],The Clovehitch Killer,109 min,"Crime, Drama, Mystery            ",(2018),6.5,"28,481"
['5690810'],Ophelia,114 min,"Drama, Romance, Thriller            ", (2018),6.5,"11,711"
['1801552'],Gotti,112 min,"Biography, Crime, Drama            ",(2018),4.7,"15,769"
['7042862'],The Man Who Killed Hitler and Then the Bigfoot,98 min,"Adventure, Drama, Sci-Fi            ",(2018),5.7,"12,496"
['4103724'],Forever My Girl,108 min,"Comedy, Drama, Music            ",(2018),6.6,"18,042"
['8781414'],Freaks,105 min,"Drama, Mystery, Sci-Fi            ",(2018),6.7,"35,971"
['4971344'],Les frères Sisters,122 min,"Drama, Western            ",(2018),6.9,"65,404"
['4015500'],The Tale,114 min,"Biography, Drama, Mystery            ",(2018),7.2,"18,212"
['4299774'],Strangeways Here We Come,86 min,"Comedy, Crime            ",(2018),5.1,351
['7838252'],K.G.F: Chapter 1,156 min,"Action, Crime, Drama            ",(2018),8.2,"86,568"
['7945440'],The Lie,97 min,"Drama, Thriller            ",(2018),5.8,"17,514"
['4595882'],Can You Ever Forgive Me?,106 min,"Biography, Comedy, Crime            ",(2018),7.1,"52,781"
['1285009'],The Strangers: Prey at Night,85 min,Horror            ,(2018),5.2,"31,729"
['6017942'],Kin,102 min,"Action, Drama, Sci-Fi            ", (2018),5.8,"17,400"
['4073790'],The Darkest Minds,104 min,"Action, Adventure, Drama            ",(2018),5.7,"32,698"
['6450186'],I Can Only Imagine,110 min,"Biography, Drama, Family            ",(2018),7.3,"16,509"
['4669264'],Beirut,110 min,"Action, Crime, Drama            ",(2018),6.5,"22,721"
['5774450'],Summer of 84,105 min,"Drama, Horror, Mystery            ",(2018),6.7,"41,689"
['3721964'],Gringo,111 min,"Action, Comedy, Crime            ",(2018),6.1,"30,556"
['5929754'],Wildlife,105 min,Drama            ,(2018),6.8,"29,324"
['6820256'],Arctic,98 min,"Adventure, Drama            ",(2018),6.8,"52,740"
['5734576'],The Possession of Hannah Grace,86 min,"Horror, Mystery, Thriller            ",(2018),5.2,"23,387"
['5001754'],Braven,94 min,"Action, Thriller            ",(2018),5.9,"40,971"
['5658672'],Peripheral,89 min,"Horror, Sci-Fi            ", (2018),4.8,228
['0427543'],A Million Little Pieces,113 min,Drama            ,(2018),6.2,"3,438"
['5607096'],"Juliet, Naked",97 min,"Comedy, Drama, Music            ",(2018),6.6,"22,985"
['3289724'],Welcome to Marwen,116 min,"Biography, Comedy, Drama            ",(2018),6.2,"24,272"
['6921996'],Johnny English Strikes Again,89 min,"Action, Adventure, Comedy            ",(2018),6.2,"75,019"
['6218358'],Calibre,101 min,"Drama, Thriller            ",(2018),6.8,"29,875"
['7946422'],Prospect,100 min,"Adventure, Drama, Sci-Fi            ",(2018),6.3,"28,338"
['6958014'],Duck Butter,93 min,"Comedy, Drama, Romance            ",(2018),5.3,"4,106"
['5314450'],Burden,117 min,"Biography, Drama, History            ", (2018),6.7,"3,707"
['7942742'],Her Smell,136 min,"Drama, Music            ",(2018),6.0,"7,477"
['4357394'],Tau,97 min,"Sci-Fi, Thriller            ",(2018),5.8,"31,922"
['5616294'],Spinning Man,100 min,"Drama, Mystery, Thriller            ",(2018),5.6,"11,528"
['4859168'],Then Came You,97 min,"Adventure, Comedy, Drama            ",(2018),6.9,"12,840"
['7690670'],Superfly,116 min,"Action, Crime, Thriller            ",(2018),5.2,"7,199"
['3588588'],Backtrace,92 min,"Action, Crime, Drama            ",(2018),3.8,"4,697"
['3458254'],Patient Zero,87 min,"Action, Drama, Horror            ", (2018),4.5,"9,217"
['9225192'],Seongnan hwangso,116 min,"Action, Crime, Thriller            ",(2018),6.6,"3,419"
['5881528'],Damsel,113 min,"Comedy, Drama, Western            ", (2018),5.6,"5,408"
['6987770'],Destination Wedding,87 min,"Comedy, Drama, Romance            ",(2018),6.0,"30,458"
['5566790'],A Futile and Stupid Gesture,101 min,"Biography, Comedy            ",(2018),6.7,"16,492"
['6513656'],Escape Plan 2: Hades,96 min,"Action, Crime, Mystery            ",(2018),3.8,"32,362"
['5834760'],Look Away,103 min,"Drama, Fantasy, Horror            ",(2018),5.8,"21,551"
['0859635'],Super Troopers 2,100 min,"Comedy, Crime, Mystery            ",(2018),6.0,"26,884"
['6802308'],The 15:17 to Paris,94 min,"Biography, Drama, Thriller            ",(2018),5.3,"33,983"
['6859352'],Support the Girls,93 min,"Comedy, Drama            ",(2018),6.4,"7,558"
['6957966'],Little Italy,102 min,"Comedy, Romance            ",(2018),5.7,"15,563"
['7464188'],In Fabric,118 min,"Comedy, Drama, Fantasy            ",(2018),6.2,"12,226"
['6518270'],An Evening with Beverly Luff Linn,108 min,"Comedy, Crime            ",(2018),5.8,"5,863"
['7491144'],Amanda,107 min,Drama            ,(2018),7.0,"2,974"
['5218736'],Leviano,102 min,"Crime, Drama, Mystery            ",(2018),4.6,315
['4602066'],The Catcher Was a Spy,94 min,"Biography, Drama, History            ",(2018),6.2,"9,935"
['8820590'],T-34,139 min,"Action, War            ",(2018),6.7,"12,681"
['6169694'],I Think We're Alone Now,99 min,"Drama, Mystery, Sci-Fi            ",(2018),5.7,"10,841"
['7026672'],Every Day,97 min,"Drama, Fantasy, Romance            ",(2018),6.4,"21,985"
['6527426'],Zero,164 min,"Comedy, Drama, Romance            ",(III) (2018),5.2,"28,078"
['7589524'],Aniara,106 min,"Drama, Sci-Fi            ",(2018),6.2,"9,616"
['8709036'],A Christmas Prince: The Royal Wedding,92 min,"Drama, Romance            ",(2018),5.3,"10,904"
['5360996'],Mary Magdalene,120 min,"Biography, Drama, History            ",(2018),5.9,"10,545"
['7615302'],Red Joan,101 min,"Biography, Drama, History            ",(2018),6.4,"12,888"
